model_key,model_name,item_id,question,raw_output,correct,reason,latency_ms,input_tokens,output_tokens
open,mistral:latest,item_032,"For each genre, how many tracks are there? Order by genre name."," SELECT Genre.Name, COUNT(Track.TrackId) AS TrackCount
    FROM Genre
    JOIN Track ON Genre.GenreId = Track.GenreId
    GROUP BY Genre.Name
    ORDER BY Genre.Name;",True,match,4329.8,1808,62
open,mistral:latest,item_033,Which countries have more than 5 customers?," SELECT City, Country FROM Customer GROUP BY City, Country HAVING COUNT(CustomerId) > 5;",False,wrong_result,3241.4,1802,28
open,mistral:latest,item_034,"For each artist, how many albums do they have? Show only artists with more than 5 albums."," SELECT Artist.Name, COUNT(Album.AlbumId) as NumberOfAlbums
   FROM Artist
   JOIN Album ON Artist.ArtistId = Album.ArtistId
   GROUP BY Artist.ArtistId
   HAVING COUNT(Album.AlbumId) > 5;",True,match,5168.9,1814,74
open,mistral:latest,item_035,What is the total sales amount for each employee (by their supported customers' invoices)?," SELECT Employee.LastName, Employee.FirstName, SUM(Invoice.Total) as TotalSales
   FROM Employee
   JOIN Customer ON Employee.EmployeeId = Customer.SupportRepId
   JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId
   GROUP BY Employee.EmployeeId, Employee.LastName, Employee.FirstName;",False,wrong_result,6658.4,1812,92
open,mistral:latest,item_036,"For each media type, how many tracks use it?"," SELECT MediaTypeId, COUNT(TrackId) AS TrackCount FROM Track GROUP BY MediaTypeId;",False,wrong_result,3363.1,1804,26
open,mistral:latest,item_037,Which playlists have more than 500 tracks?," SELECT PlaylistId FROM PlaylistTrack
   INNER JOIN Track ON PlaylistTrack.TrackId = Track.TrackId
   GROUP BY PlaylistId
   HAVING COUNT(TrackId) > 500;",False,execution_error: ambiguous column name: TrackId,4097.9,1805,55
open,mistral:latest,item_038,"For each billing country, what is the total invoice amount?"," SELECT Invoice.BillingCountry, SUM(Invoice.Total) as TotalInvoiceAmount
   FROM Invoice
   GROUP BY Invoice.BillingCountry;",True,match,3750.5,1807,41
open,mistral:latest,item_039,How many albums does each artist have? Show only artists with exactly 1 album.," SELECT Artist.Name, COUNT(Album.AlbumId) as NumberOfAlbums
   FROM Artist
   JOIN Album ON Artist.ArtistId = Album.ArtistId
   GROUP BY Artist.ArtistId
   HAVING COUNT(Album.AlbumId) = 1;",True,match,5058.4,1810,74
open,mistral:latest,item_040,What is the average track length in milliseconds for each genre?," SELECT GenreId, AVG(Milliseconds) AS AverageTrackLength
   FROM Track
   JOIN Genre ON Track.GenreId = Genre.GenreId
   GROUP BY GenreId;",False,execution_error: ambiguous column name: GenreId,3958.0,1806,50
open,mistral:latest,item_041,What are the 5 most expensive tracks?," SELECT TrackId, Name, UnitPrice
   FROM Track
   ORDER BY UnitPrice DESC
   LIMIT 5;",False,wrong_result,3346.1,1802,29
open,mistral:latest,item_042,Who are the top 3 customers by total amount spent?," SELECT CustomerId, FirstName, LastName, SUM(Total) as TotalSpent
   FROM Invoice INNER JOIN InvoiceLine ON Invoice.InvoiceId = InvoiceLine.InvoiceId
   INNER JOIN Track ON InvoiceLine.TrackId = Track.TrackId
   INNER JOIN Album ON Track.AlbumId = Album.AlbumId
   INNER JOIN Customer ON Invoice.CustomerId = Customer.CustomerId
   GROUP BY CustomerId, FirstName, LastName
   ORDER BY TotalSpent DESC
   LIMIT 3;",False,execution_error: ambiguous column name: CustomerId,7731.1,1805,134
open,mistral:latest,item_043,What are the 10 longest tracks by duration?," SELECT TrackId, Name, Milliseconds FROM Track ORDER BY Milliseconds DESC LIMIT 10;",False,wrong_result,3147.2,1804,24
open,mistral:latest,item_044,Which 5 genres have the most tracks?," SELECT GenreId, COUNT(TrackId) as TrackCount
   FROM Track
   GROUP BY GenreId
   ORDER BY TrackCount DESC
   LIMIT 5;",False,wrong_result,3754.6,1803,44
open,mistral:latest,item_045,What are the 3 best-selling tracks by total quantity sold?," SELECT TrackId, Name, SUM(Quantity) as TotalQuantitySold
   FROM InvoiceLine
   JOIN Track ON InvoiceLine.TrackId = Track.TrackId
   GROUP BY TrackId, Name
   ORDER BY TotalQuantitySold DESC
   LIMIT 3;",False,execution_error: ambiguous column name: TrackId,4963.8,1807,71
open,mistral:latest,item_046,Which artist has the most albums?," SELECT Artist.Name
   FROM Artist
   JOIN Album ON Artist.ArtistId = Album.ArtistId
   GROUP BY Artist.Name
   ORDER BY COUNT(Album.AlbumId) DESC
   LIMIT 1;",False,wrong_result,3936.3,1800,59
open,mistral:latest,item_047,What are the 5 most recent invoices by date?, SELECT * FROM Invoice ORDER BY InvoiceDate DESC LIMIT 5;,False,wrong_result,3070.7,1806,19
open,mistral:latest,item_048,Which 5 customers have the most invoices?," SELECT CustomerId, COUNT(InvoiceId) as InvoiceCount
   FROM Invoice
   JOIN Customer ON Invoice.CustomerId = Customer.CustomerId
   GROUP BY CustomerId
   ORDER BY InvoiceCount DESC
   LIMIT 5;",False,execution_error: ambiguous column name: CustomerId,4477.5,1804,62
open,mistral:latest,item_049,List the names of tracks that have never appeared on any invoice.," SELECT Track.Name
    FROM Track
    LEFT JOIN InvoiceLine ON Track.TrackId = InvoiceLine.TrackId
    WHERE InvoiceLine.TrackId IS NULL;",False,wrong_result,4087.2,1807,43
open,mistral:latest,item_050,Which customers have spent more than the average total per invoice?," SELECT CustomerId
    FROM Invoice
    JOIN InvoiceLine ON Invoice.InvoiceId = InvoiceLine.InvoiceId
    GROUP BY CustomerId
    HAVING SUM(InvoiceLine.UnitPrice * InvoiceLine.Quantity) / COUNT(InvoiceLine.InvoiceId) * (SELECT AVG(Total) FROM Invoice) > (SELECT AVG(Total) FROM Invoice);",False,wrong_result,5801.5,1806,98
open,mistral:latest,item_051,List all invoices billed in the year 2021.," SELECT InvoiceId, InvoiceDate FROM Invoice WHERE STRFTIME('%Y', InvoiceDate) = '2021';",False,wrong_result,3421.1,1809,32
open,mistral:latest,item_052,What distinct billing countries appear in the invoices?, SELECT DISTINCT BillingCountry FROM Invoice;,True,match,2972.7,1805,14
open,mistral:latest,item_053,List artists who have no albums in the database.," SELECT Name FROM Artist
   LEFT JOIN Album ON Artist.ArtistId = Album.ArtistId
   WHERE Album.AlbumId IS NULL;",True,match,3891.0,1803,36
cheap,openai/gpt-oss-20b,item_001,List the names of all artists whose name starts with 'The'.,SELECT Name FROM Artist WHERE Name LIKE 'The%';,True,match,384.0,1343,90
cheap,openai/gpt-oss-20b,item_002,What is the email address of the customer named Luís Gonçalves?,SELECT Email FROM Customer WHERE FirstName='Luís' AND LastName='Gonçalves';,True,match,792.5,1344,128
cheap,openai/gpt-oss-20b,item_003,List all track names that are longer than 300000 milliseconds.,SELECT Name FROM Track WHERE Milliseconds > 300000;,True,match,553.9,1343,70
cheap,openai/gpt-oss-20b,item_004,Which employees have the job title 'Sales Support Agent'?,"SELECT EmployeeId, FirstName, LastName, Title FROM Employee WHERE Title = 'Sales Support Agent';",False,wrong_result,642.6,1342,157
cheap,openai/gpt-oss-20b,item_005,List all customers who live in Brazil.,SELECT * FROM Customer WHERE Country = 'Brazil';,False,wrong_result,398.2,1338,74
cheap,openai/gpt-oss-20b,item_006,What are the names of all genres?,SELECT Name FROM Genre;,True,match,464.3,1338,72
cheap,openai/gpt-oss-20b,item_007,List all playlists that have 'Music' in their name.,"SELECT PlaylistId, Name FROM Playlist WHERE Name LIKE '%Music%';",False,wrong_result,725.2,1342,163
cheap,openai/gpt-oss-20b,item_008,Find the track named 'Balls to the Wall'.,SELECT * FROM Track WHERE Name = 'Balls to the Wall';,False,wrong_result,563.1,1340,108
cheap,openai/gpt-oss-20b,item_009,List customers from the state of California (CA).,SELECT * FROM Customer WHERE State = 'CA';,False,wrong_result,498.8,1340,101
cheap,openai/gpt-oss-20b,item_010,What is the postal code of the employee named Andrew Adams?,SELECT PostalCode FROM Employee WHERE FirstName = 'Andrew' AND LastName = 'Adams';,True,match,483.9,1342,117
cheap,openai/gpt-oss-20b,item_011,How many tracks are there in total?,SELECT COUNT(*) FROM Track;,True,match,512.6,1338,35
cheap,openai/gpt-oss-20b,item_012,How many customers are there from Germany?,SELECT COUNT(*) FROM Customer WHERE Country = 'Germany';,True,match,562.4,1338,48
cheap,openai/gpt-oss-20b,item_013,What is the total number of invoices?,SELECT COUNT(*) AS TotalInvoices FROM Invoice;,True,match,466.1,1338,59
cheap,openai/gpt-oss-20b,item_014,What is the average unit price of a track?,SELECT AVG(UnitPrice) FROM Track;,True,match,598.1,1340,49
cheap,openai/gpt-oss-20b,item_015,What is the total sum of all invoice totals?,SELECT SUM(Total) FROM Invoice;,True,match,306.2,1340,62
cheap,openai/gpt-oss-20b,item_016,How many distinct countries do customers come from?,SELECT COUNT(DISTINCT Country) FROM Customer;,True,match,538.9,1339,46
cheap,openai/gpt-oss-20b,item_017,How many albums does the artist with ArtistId 1 have?,SELECT COUNT(*) FROM Album WHERE ArtistId = 1;,True,match,533.4,1343,71
cheap,openai/gpt-oss-20b,item_018,What is the longest track duration in milliseconds?,SELECT MAX(Milliseconds) AS MaxDuration FROM Track;,True,match,323.2,1339,82
cheap,openai/gpt-oss-20b,item_019,"What is the shortest track duration in milliseconds, excluding zero?",SELECT MIN(Milliseconds) AS ShortestDuration FROM Track WHERE Milliseconds > 0;,True,match,485.5,1342,146
cheap,openai/gpt-oss-20b,item_020,How many tracks belong to the genre 'Rock'?,SELECT COUNT(*) FROM Track t JOIN Genre g ON t.GenreId = g.GenreId WHERE g.Name = 'Rock';,True,match,501.0,1341,114
cheap,openai/gpt-oss-20b,item_021,List the names of all albums by the artist 'AC/DC'.,"SELECT a.Title
FROM Album a
JOIN Artist ar ON a.ArtistId = ar.ArtistId
WHERE ar.Name = 'AC/DC';",True,match,427.4,1343,133
cheap,openai/gpt-oss-20b,item_022,List the track names on the album 'Facelift'.,"SELECT t.Name
FROM Track t
JOIN Album a ON t.AlbumId = a.AlbumId
WHERE a.Title = 'Facelift';",True,match,483.8,1341,139
cheap,openai/gpt-oss-20b,item_023,Which genre does the track 'Fast As a Shark' belong to?,"SELECT g.Name AS GenreName
FROM Track t
JOIN Genre g ON t.GenreId = g.GenreId
WHERE t.Name = 'Fast As a Shark';",True,match,490.9,1344,213
cheap,openai/gpt-oss-20b,item_024,List the first and last names of customers along with the city of their support representative.,"SELECT c.FirstName, c.LastName, e.City
FROM Customer c
LEFT JOIN Employee e ON c.SupportRepId = e.EmployeeId;",True,match,620.2,1347,185
cheap,openai/gpt-oss-20b,item_025,List all track names along with their media type name.,"SELECT t.Name AS TrackName, m.Name AS MediaTypeName
FROM Track t
JOIN MediaType m ON t.MediaTypeId = m.MediaTypeId;",False,wrong_result,615.2,1341,156
cheap,openai/gpt-oss-20b,item_026,List the names of tracks in the playlist called 'Music'.,"SELECT t.Name
FROM Track t
JOIN PlaylistTrack pt ON t.TrackId = pt.TrackId
JOIN Playlist p ON pt.PlaylistId = p.PlaylistId
WHERE p.Name = 'Music';",False,wrong_result,551.2,1342,160
cheap,openai/gpt-oss-20b,item_027,What is the total amount billed to each customer named 'Frank Harris'?,"SELECT Customer.CustomerId, Customer.FirstName, Customer.LastName, SUM(Invoice.Total) AS TotalBilled
FROM Customer
JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId
WHERE Customer.FirstName = 'Frank' AND Customer.LastName = 'Harris'
GROUP BY Customer.CustomerId, Customer.FirstName, Customer.LastName;",False,wrong_result,599.3,1345,231
cheap,openai/gpt-oss-20b,item_028,List the names of employees and the first names of the employees they report to.,"SELECT e1.LastName || ' ' || e1.FirstName AS EmployeeName, e2.FirstName AS ManagerFirstName
FROM Employee e1
JOIN Employee e2 ON e1.ReportsTo = e2.EmployeeId;",False,wrong_result,818.4,1346,362
cheap,openai/gpt-oss-20b,item_029,"List all invoice lines for the track named 'Right Next Door to Hell', showing quantity and unit price.","SELECT il.Quantity, il.UnitPrice
FROM InvoiceLine il
JOIN Track t ON il.TrackId = t.TrackId
WHERE t.Name = 'Right Next Door to Hell';",True,match,553.1,1351,220
cheap,openai/gpt-oss-20b,item_030,List the album title and artist name for the track 'Go Down'.,"SELECT Album.Title, Artist.Name
FROM Track
JOIN Album ON Track.AlbumId = Album.AlbumId
JOIN Artist ON Album.ArtistId = Artist.ArtistId
WHERE Track.Name = 'Go Down';",True,match,1228.6,1344,235
cheap,openai/gpt-oss-20b,item_031,"For each country, how many customers are there? Order by count descending.","SELECT Country, COUNT(*) AS CustomerCount FROM Customer GROUP BY Country ORDER BY CustomerCount DESC;",True,match,514.7,1345,119
cheap,openai/gpt-oss-20b,item_032,"For each genre, how many tracks are there? Order by genre name.","SELECT g.Name AS Genre, COUNT(t.TrackId) AS TrackCount
FROM Genre g
LEFT JOIN Track t ON t.GenreId = g.GenreId
GROUP BY g.GenreId, g.Name
ORDER BY g.Name;",True,match,694.6,1345,221
cheap,openai/gpt-oss-20b,item_033,Which countries have more than 5 customers?,SELECT Country FROM Customer GROUP BY Country HAVING COUNT(*) > 5;,False,wrong_result,314.2,1339,134
cheap,openai/gpt-oss-20b,item_034,"For each artist, how many albums do they have? Show only artists with more than 5 albums.","SELECT a.Name, COUNT(*) AS AlbumCount
FROM Album al
JOIN Artist a ON al.ArtistId = a.ArtistId
GROUP BY a.ArtistId, a.Name
HAVING COUNT(*) > 5;",True,match,566.2,1351,136
cheap,openai/gpt-oss-20b,item_035,What is the total sales amount for each employee (by their supported customers' invoices)?,"SELECT e.EmployeeId, e.FirstName, e.LastName, SUM(i.Total) AS TotalSales
FROM Employee e
JOIN Customer c ON c.SupportRepId = e.EmployeeId
JOIN Invoice i ON i.CustomerId = c.CustomerId
GROUP BY e.EmployeeId, e.FirstName, e.LastName
ORDER BY TotalSales DESC;",False,wrong_result,687.4,1347,275
cheap,openai/gpt-oss-20b,item_036,"For each media type, how many tracks use it?","SELECT MediaType.Name, COUNT(Track.TrackId) AS TrackCount
FROM MediaType
LEFT JOIN Track ON MediaType.MediaTypeId = Track.MediaTypeId
GROUP BY MediaType.MediaTypeId, MediaType.Name
ORDER BY MediaType.MediaTypeId;",True,match,741.4,1341,254
cheap,openai/gpt-oss-20b,item_037,Which playlists have more than 500 tracks?,"SELECT p.PlaylistId, p.Name
FROM Playlist p
JOIN PlaylistTrack pt ON p.PlaylistId = pt.PlaylistId
GROUP BY p.PlaylistId, p.Name
HAVING COUNT(pt.TrackId) > 500;",False,wrong_result,501.4,1339,157
cheap,openai/gpt-oss-20b,item_038,"For each billing country, what is the total invoice amount?","SELECT BillingCountry, SUM(Total) AS TotalAmount FROM Invoice GROUP BY BillingCountry;",True,match,496.9,1342,121
cheap,openai/gpt-oss-20b,item_039,How many albums does each artist have? Show only artists with exactly 1 album.,"SELECT a.Name, COUNT(al.AlbumId) AS AlbumCount
FROM Artist a
JOIN Album al ON a.ArtistId = al.ArtistId
GROUP BY a.ArtistId, a.Name
HAVING COUNT(al.AlbumId) = 1;",True,match,550.2,1347,300
cheap,openai/gpt-oss-20b,item_040,What is the average track length in milliseconds for each genre?,"SELECT g.Name AS Genre, AVG(t.Milliseconds) AS AvgMilliseconds
FROM Track t
JOIN Genre g ON t.GenreId = g.GenreId
GROUP BY g.GenreId, g.Name;",True,match,492.6,1342,146
cheap,openai/gpt-oss-20b,item_041,What are the 5 most expensive tracks?,"SELECT TrackId, Name, UnitPrice FROM Track ORDER BY UnitPrice DESC LIMIT 5;",False,wrong_result,468.1,1339,95
cheap,openai/gpt-oss-20b,item_042,Who are the top 3 customers by total amount spent?,"SELECT c.FirstName, c.LastName, SUM(i.Total) AS TotalSpent
FROM Customer c
JOIN Invoice i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId, c.FirstName, c.LastName
ORDER BY TotalSpent DESC
LIMIT 3;",True,match,540.3,1342,173
cheap,openai/gpt-oss-20b,item_043,What are the 10 longest tracks by duration?,"SELECT Name, Milliseconds FROM Track ORDER BY Milliseconds DESC LIMIT 10;",True,match,552.5,1340,156
cheap,openai/gpt-oss-20b,item_044,Which 5 genres have the most tracks?,"SELECT g.Name, COUNT(t.TrackId) AS TrackCount
FROM Track t
JOIN Genre g ON t.GenreId = g.GenreId
GROUP BY g.GenreId, g.Name
ORDER BY TrackCount DESC
LIMIT 5;",True,match,581.2,1339,215
cheap,openai/gpt-oss-20b,item_045,What are the 3 best-selling tracks by total quantity sold?,"SELECT t.Name, SUM(il.Quantity) AS TotalQuantity
FROM InvoiceLine il
JOIN Track t ON il.TrackId = t.TrackId
GROUP BY t.TrackId, t.Name
ORDER BY TotalQuantity DESC
LIMIT 3;",True,match,441.4,1343,159
cheap,openai/gpt-oss-20b,item_046,Which artist has the most albums?,"SELECT a.Name, COUNT(*) AS AlbumCount
FROM Album al
JOIN Artist a ON al.ArtistId = a.ArtistId
GROUP BY a.ArtistId, a.Name
ORDER BY AlbumCount DESC
LIMIT 1;",True,match,478.4,1337,169
cheap,openai/gpt-oss-20b,item_047,What are the 5 most recent invoices by date?,"SELECT InvoiceId, CustomerId, InvoiceDate, Total FROM Invoice ORDER BY InvoiceDate DESC LIMIT 5;",False,wrong_result,498.0,1341,107
cheap,openai/gpt-oss-20b,item_048,Which 5 customers have the most invoices?,"SELECT c.CustomerId, c.FirstName, c.LastName, COUNT(i.InvoiceId) AS InvoiceCount
FROM Customer c
JOIN Invoice i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId, c.FirstName, c.LastName
ORDER BY InvoiceCount DESC
LIMIT 5;",False,wrong_result,479.2,1339,215
cheap,openai/gpt-oss-20b,item_049,List the names of tracks that have never appeared on any invoice.,SELECT Name FROM Track WHERE NOT EXISTS (SELECT 1 FROM InvoiceLine WHERE InvoiceLine.TrackId = Track.TrackId);,False,wrong_result,558.9,1343,100
cheap,openai/gpt-oss-20b,item_050,Which customers have spent more than the average total per invoice?,"SELECT c.CustomerId, c.FirstName, c.LastName, SUM(i.Total) AS TotalSpent
FROM Customer c
JOIN Invoice i ON c.CustomerId = i.CustomerId
GROUP BY c.CustomerId, c.FirstName, c.LastName
HAVING SUM(i.Total) > (SELECT AVG(Total) FROM Invoice);",False,wrong_result,769.6,1342,321
cheap,openai/gpt-oss-20b,item_051,List all invoices billed in the year 2021.,"SELECT * FROM Invoice WHERE strftime('%Y', InvoiceDate) = '2021';",False,wrong_result,524.4,1341,167
cheap,openai/gpt-oss-20b,item_052,What distinct billing countries appear in the invoices?,SELECT DISTINCT BillingCountry FROM Invoice;,True,match,456.5,1339,46
cheap,openai/gpt-oss-20b,item_053,List artists who have no albums in the database.,"SELECT a.Name
FROM Artist a
LEFT JOIN Album al ON a.ArtistId = al.ArtistId
WHERE al.AlbumId IS NULL;",True,match,434.0,1340,133
top,openai/gpt-oss-120b,item_001,List the names of all artists whose name starts with 'The'.,SELECT Name FROM Artist WHERE Name LIKE 'The%';,True,match,597.4,1343,88
top,openai/gpt-oss-120b,item_002,What is the email address of the customer named Luís Gonçalves?,SELECT Email FROM Customer WHERE FirstName = 'Luís' AND LastName = 'Gonçalves';,True,match,672.7,1344,101
top,openai/gpt-oss-120b,item_003,List all track names that are longer than 300000 milliseconds.,SELECT Name FROM Track WHERE Milliseconds > 300000;,True,match,512.1,1343,90
top,openai/gpt-oss-120b,item_004,Which employees have the job title 'Sales Support Agent'?,"SELECT EmployeeId, FirstName, LastName, Title FROM Employee WHERE Title = 'Sales Support Agent';",False,wrong_result,589.4,1342,108
top,openai/gpt-oss-120b,item_005,List all customers who live in Brazil.,SELECT * FROM Customer WHERE Country = 'Brazil';,False,wrong_result,600.4,1338,95
top,openai/gpt-oss-120b,item_006,What are the names of all genres?,SELECT Name FROM Genre;,True,match,541.1,1338,64
top,openai/gpt-oss-120b,item_007,List all playlists that have 'Music' in their name.,"SELECT PlaylistId, Name FROM Playlist WHERE Name LIKE '%Music%';",False,wrong_result,614.3,1342,97
top,openai/gpt-oss-120b,item_008,Find the track named 'Balls to the Wall'.,SELECT * FROM Track WHERE Name = 'Balls to the Wall';,False,wrong_result,614.1,1340,86
top,openai/gpt-oss-120b,item_009,List customers from the state of California (CA).,SELECT * FROM Customer WHERE State = 'CA';,False,wrong_result,622.6,1340,114
top,openai/gpt-oss-120b,item_010,What is the postal code of the employee named Andrew Adams?,SELECT PostalCode FROM Employee WHERE FirstName = 'Andrew' AND LastName = 'Adams';,True,match,579.1,1342,98
top,openai/gpt-oss-120b,item_011,How many tracks are there in total?,SELECT COUNT(*) FROM Track;,True,match,498.5,1338,41
top,openai/gpt-oss-120b,item_012,How many customers are there from Germany?,SELECT COUNT(*) FROM Customer WHERE Country = 'Germany';,True,match,333.6,1338,50
top,openai/gpt-oss-120b,item_013,What is the total number of invoices?,SELECT COUNT(*) AS TotalInvoices FROM Invoice;,True,match,320.9,1338,49
top,openai/gpt-oss-120b,item_014,What is the average unit price of a track?,SELECT AVG(UnitPrice) AS AverageUnitPrice FROM Track;,True,match,443.3,1340,61
top,openai/gpt-oss-120b,item_015,What is the total sum of all invoice totals?,SELECT SUM(Total) AS TotalSum FROM Invoice;,True,match,386.8,1340,59
top,openai/gpt-oss-120b,item_016,How many distinct countries do customers come from?,SELECT COUNT(DISTINCT Country) FROM Customer;,True,match,653.2,1339,53
top,openai/gpt-oss-120b,item_017,How many albums does the artist with ArtistId 1 have?,SELECT COUNT(*) FROM Album WHERE ArtistId = 1;,True,match,546.6,1343,62
